player_nickname,player_id,po,dh20
BAM,1628389,1,0
BANCHERO,1631094,1,0
BARNES,1630567,0,0
BOOKER,1626164,1,1
BRIDGES,1628969,0,0
BROWN,1627759,1,1
BRUNSON,1628973,1,1
BUTLER,202710,0,1
CADE,1630595,0,0
CASON WALLACE,1641717,1,0
CHET,1631096,1,0
CURRY,201939,0,1
DAVIS,203076,1,1
DEMAR,201942,0,0
DONCIC,1629029,1,1
DURANT,201142,1,1
EDWARDS,1630162,1,1
EMBIID,203954,1,1
FOX,1628368,0,0
GEORGE,202331,1,0
GIANNIS,203507,1,1
GOBERT,203497,1,0
GREEN,203110,0,0
HALIBURTON,1630169,1,1
HARDEN,201935,1,0
HERRO,202395,1,0
JDUB,1631114,1,0
JJJ,1628991,0,0
JOKIC,203999,1,1
JRUE,201950,1,0
KAWHI,202695,1,1
KYRIE,202681,1,1
LAMELO,1630163,0,0
LEBRON,2544,1,1
LILLARD,203081,1,0
LUGUENTZ DORT,1629652,1,0
MARKKANEN,1628374,0,0
MAXEY,1630178,1,0
MITCHELL,1628378,1,1
MORANT,1629630,0,0
MURRAY,1627750,1,0
PORZINGIS,204001,1,0
RANDLE,203944,0,0
SABONIS,1627734,0,0
SENGUN,1630578,0,0
SGA,1628983,1,1
SIAKAM,1627783,0,0
TATUM,1628369,1,1
TOWNS,1626157,1,0
VICTOR,1641705,0,1
WESTBROOK,201566,1,0
WHITE,1628401,1,0
YOUNG,1629027,0,0
ZION,1629627,1,0
