CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203954,Joel Embiid,1610612755,PHI,C-F,30.0,6,6,1.0,10.83,24.33,0.445,0.5,-0.055
203076,Anthony Davis,1610612747,LAL,F-C,31.0,5,5,1.0,11.6,24.2,0.479,0.514,-0.035
203999,Nikola Jokic,1610612743,DEN,C,29.0,12,12,1.0,10.92,21.42,0.51,0.507,0.003
201142,Kevin Durant,1610612756,PHX,F,35.0,4,4,1.0,8.0,18.25,0.438,0.481,-0.043
1631094,Paolo Banchero,1610612753,ORL,F,21.0,7,7,1.0,7.71,17.57,0.439,0.48,-0.041
1631096,Chet Holmgren,1610612760,OKC,C-F,22.0,10,10,1.0,8.0,17.5,0.457,0.54,-0.083
203497,Rudy Gobert,1610612750,MIN,C,32.0,15,15,1.0,7.93,16.8,0.472,0.527,-0.055
1629029,Luka Doncic,1610612742,DAL,F-G,25.0,22,22,1.0,7.23,16.5,0.438,0.492,-0.054
204001,Kristaps Porzingis,1610612738,BOS,F-C,28.0,7,7,1.0,6.43,16.43,0.391,0.481,-0.089
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,25.0,10,10,1.0,6.8,15.1,0.45,0.491,-0.04
1629652,Luguentz Dort,1610612760,OKC,G,25.0,10,10,1.0,6.5,14.5,0.448,0.482,-0.034
202331,Paul George,1610612746,LAC,F,34.0,6,6,1.0,7.5,14.17,0.529,0.505,0.024
201935,James Harden,1610612746,LAC,G,34.0,6,6,1.0,6.0,14.0,0.429,0.496,-0.068
1627750,Jamal Murray,1610612743,DEN,G,27.0,12,12,1.0,7.33,13.75,0.533,0.487,0.046
1627783,Pascal Siakam,1610612754,IND,F,30.0,17,17,1.0,6.12,13.24,0.462,0.47,-0.008
1628401,Derrick White,1610612738,BOS,G,29.0,19,19,1.0,6.26,13.16,0.476,0.481,-0.005
201950,Jrue Holiday,1610612738,BOS,G,34.0,19,19,1.0,6.0,13.05,0.46,0.478,-0.018
1626157,Karl-Anthony Towns,1610612750,MIN,C-F,28.0,16,16,1.0,6.25,13.0,0.481,0.516,-0.036
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,6,6,1.0,6.33,12.83,0.494,0.469,0.025
1626164,Devin Booker,1610612756,PHX,G,27.0,4,4,1.0,5.25,12.75,0.412,0.473,-0.061
2544,LeBron James,1610612747,LAL,F,39.0,5,5,1.0,7.0,12.0,0.583,0.509,0.075
1630169,Tyrese Haliburton,1610612754,IND,G,24.0,15,15,1.0,5.93,11.8,0.503,0.457,0.046
1631114,Jalen Williams,1610612760,OKC,G-F,23.0,10,10,1.0,5.1,11.5,0.443,0.482,-0.039
1630162,Anthony Edwards,1610612750,MIN,G,22.0,16,16,1.0,4.69,11.31,0.414,0.49,-0.075
1628369,Jayson Tatum,1610612738,BOS,F-G,26.0,19,19,1.0,5.95,11.26,0.528,0.502,0.026
1628973,Jalen Brunson,1610612752,NYK,G,27.0,13,13,1.0,5.23,10.85,0.482,0.483,-0.001
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,19,19,1.0,5.16,10.53,0.49,0.487,0.003
1628378,Donovan Mitchell,1610612739,CLE,G,27.0,10,10,1.0,4.9,10.3,0.476,0.473,0.003
203081,Damian Lillard,1610612749,MIL,G,33.0,4,4,1.0,4.25,10.0,0.425,0.516,-0.091
202681,Kyrie Irving,1610612742,DAL,G,32.0,22,22,1.0,4.59,10.0,0.459,0.483,-0.024
202695,Kawhi Leonard,1610612746,LAC,F,33.0,2,2,1.0,4.5,9.5,0.474,0.485,-0.012
1628389,Bam Adebayo,1610612748,MIA,C-F,26.0,5,5,1.0,4.2,9.4,0.447,0.492,-0.045
1641717,Cason Wallace,1610612760,OKC,G,20.0,10,10,1.0,3.2,8.8,0.364,0.478,-0.115
201566,Russell Westbrook,1610612746,LAC,G,35.0,6,6,1.0,1.67,5.33,0.313,0.491,-0.178
